T,lon,lat,Regime,% Vol,link
2880,-80.826,28.933,Inundation/Overwash,97,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2880_results.png
1639,-80.12,25.829,Collision,48,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1639_results.png
2579,-80.157,27.178,Inundation/Overwash,89,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2579_results.png
1359,-81.319,30.007,Inundation/Overwash,59,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1359_results.png
1706,-80.062,26.428,Inundation/Overwash,36,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1706_results.png
1370,-81.33,30.053,Collision,51,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1370_results.png
2718,-80.423,27.814,Inundation/Overwash,35,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2718_results.png
1419,-81.39,30.294,Inundation/Overwash,1,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1419_results.png
2435,-80.049,26.52,Collision,51,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2435_results.png
2412,-80.064,26.416,Inundation/Overwash,77,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2412_results.png
1714,-80.052,26.499,Collision,39,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1714_results.png
1731,-80.036,26.678,Inundation/Overwash,80,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1731_results.png
1699,-80.069,26.364,Collision,18,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1699_results.png
2571,-80.146,27.134,Inundation/Overwash,82,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2571_results.png
2979,-81.298,29.934,Inundation/Overwash,92,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2979_results.png
1290,-81.201,29.64,Inundation/Overwash,137,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1290_results.png
1759,-80.066,26.921,Inundation/Overwash,125,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1759_results.png
2681,-80.361,27.669,Inundation/Overwash,56,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2681_results.png
2711,-80.411,27.79,Inundation/Overwash,0,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2711_results.png
2908,-80.963,29.141,Inundation/Overwash,41,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2908_results.png
